"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"deutschen","helgoland liegt in der deutschen bucht.","helgoland liegt in der {{1::deutschen}} bucht.","heligoland is located in the german bight.","First 3 letters: deu...","100","0.4679135494596841",""
"sterne","kann man diese sterne in australien sehen?","kann man diese {{1::sterne}} in australien sehen?","can these stars be seen in australia?","First 2 letters: st...","134","0.4870766835344492",""
"repariert","ich hatte schwierigkeiten, es repariert zu bekommen.","ich hatte schwierigkeiten, es {{1::repariert}} zu bekommen.","i had difficulty in having it repaired.","First 3 letters: rep...","105","0.48697691197691195",""
"wünsche","in diesem falle wünsche ich dir glück!","in diesem falle {{1::wünsche}} ich dir glück!","in that case, i wish you luck.","First 2 letters: wü...","143","0.48711093375897846",""
"wünsche","in diesem falle wünsche ich euch glück!","in diesem falle {{1::wünsche}} ich euch glück!","in that case, i wish you luck.","First 2 letters: wü...","143","0.48711093375897846",""
"wünsche","in diesem falle wünsche ich ihnen glück!","in diesem falle {{1::wünsche}} ich ihnen glück!","in that case, i wish you luck.","First 2 letters: wü...","143","0.48711093375897846",""
"welt","was um alles in der welt ist in dich gefahren?","was um alles in der {{1::welt}} ist in dich gefahren?","what in the world got into you?","First 1 letter: w...","1007","0.44098425196850394",""
"repariert","dieser stuhl müsste repariert werden.","dieser stuhl müsste {{1::repariert}} werden.","this chair is in want of repair.","First 3 letters: rep...","105","0.4812626262626263",""
"zwei","wir haben uns bis zwei uhr früh unterhalten.","wir haben uns bis {{1::zwei}} uhr früh unterhalten.","we talked until two in the morning.","First 1 letter: z...","1787","0.44038819875776397",""
"ecke","wer ist das da in der ecke?","wer ist das da in der {{1::ecke}}?","who's that in the corner over there?","First 1 letter: e...","109","0.3698469387755102",""
"salz","es ist zu viel salz in der suppe!","es ist zu viel {{1::salz}} in der suppe!","there's too much salt in the soup!","First 1 letter: s...","150","0.4414245014245014",""
"verbrachte","die sommermonate verbrachte sie in rom.","die sommermonate {{1::verbrachte}} sie in rom.","she spent the summer months in rome.","First 3 letters: ver...","99","0.46791044776119406",""
"besteht","die gruppe besteht aus vierzig personen.","die gruppe {{1::besteht}} aus vierzig personen.","there are forty people in the group.","First 2 letters: be...","326","0.46952380952380945",""
"beginnen","die bauarbeiten beginnen im oktober.","die bauarbeiten {{1::beginnen}} im oktober.","construction is going to begin in october.","First 2 letters: be...","123","0.4813227513227514",""
"personen","es sind über 100 personen im raum.","es sind über 100 {{1::personen}} im raum.","there're more than 100 people in the room.","First 2 letters: pe...","107","0.501269035532995",""
"tief","dieser stamm lebt tief im wald.","dieser stamm lebt {{1::tief}} im wald.","this tribe lives deep in the forest.","First 1 letter: t...","198","0.4416501650165017",""
"gesellschaft","reisen in guter gesellschaft macht immer spaß.","reisen in guter {{1::gesellschaft}} macht immer spaß.","travelling in good company is always fun.","First 3 letters: ges...","131","0.48706563706563705",""
"ruhe","sieh es dir in ruhe an!","sieh es dir in {{1::ruhe}} an!","look at it in your own time.","First 1 letter: r...","246","0.40862745098039216",""
"personen","es sind zehn personen in diesem zimmer.","es sind zehn {{1::personen}} in diesem zimmer.","there are ten people in this room.","First 2 letters: pe...","107","0.4869833212472806",""
"gibt","bei uns im dorf gibt es zwei schulen.","bei uns im dorf {{1::gibt}} es zwei schulen.","there are two schools in our village.","First 1 letter: g...","2932","0.44020550760378135",""
"mund","was hast du im mund?","was hast du im {{1::mund}}?","what do you have in your mouth?","First 1 letter: m...","224","0.3818050541516245",""
"falls","ich stehe zur verfügung, falls sie etwas brauchen.","ich stehe zur verfügung, {{1::falls}} sie etwas brauchen.","i'm available in case you need something.","First 2 letters: fa...","118","0.5013054830287207",""
"ihre","lieben sie ihre frau?","lieben sie {{1::ihre}} frau?","are you in love with your wife?","First 1 letter: i...","3812","0.4401509206157561",""
"land","ich lebe lieber auf dem land als in der stadt.","ich lebe lieber auf dem {{1::land}} als in der stadt.","i prefer living in the country to living in the city.","First 1 letter: l...","751","0.441984126984127",""
"bus","ich war im bus.","ich war im {{1::bus}}.","i was on the bus.","First 1 letter: b...","840","0.33146627565982406",""
"schönheit","ihre schönheit war unbeschreiblich.","ihre {{1::schönheit}} war unbeschreiblich.","her beauty was beyond description.","First 3 letters: sch...","109","0.45127551020408163",""
"kino","das kino war leer.","das {{1::kino}} war leer.","the movie theater was empty.","First 1 letter: k...","290","0.3923696682464455",""
"rot","er war rot vor wut.","er war {{1::rot}} vor wut.","he was red from anger.","First 1 letter: r...","276","0.3622222222222222",""
"lied","das lied war ein hit.","das {{1::lied}} war ein hit.","the song was a hit.","First 1 letter: l...","346","0.38322580645161286",""
"trug","ich trug ein buch.","ich {{1::trug}} ein buch.","i was carrying a book.","First 1 letter: t...","418","0.39602409638554215",""
"leider","leider war er ein kerl.","{{1::leider}} war er ein kerl.","unfortunately, it was a guy.","First 2 letters: le...","256","0.40204081632653066",""
"gute","es war eine gute idee.","es war eine {{1::gute}} idee.","it was a good idea.","First 1 letter: g...","1135","0.4207861635220126",""
"hochzeit","es war eine hochzeit wie im märchen.","es war eine {{1::hochzeit}} wie im märchen.","it was a fairytale wedding.","First 2 letters: ho...","124","0.48704054566123534",""
"berg","ich war auf dem berg.","ich war auf dem {{1::berg}}.","i was on the mountain.","First 1 letter: b...","165","0.38148809523809524",""
"teufel","wer zum teufel war das?","wer zum {{1::teufel}} war das?","who the devil was that?","First 2 letters: te...","121","0.48131578947368425",""
"gesundheit","sie strotzte vor gesundheit.","sie strotzte vor {{1::gesundheit}}.","she was bursting with health.","First 3 letters: ges...","228","0.45183150183150184",""
"ihn","sie sah ihn an.","sie sah {{1::ihn}} an.","she was looking at him.","First 1 letter: i...","5045","0.3801099868015838",""
"deutsche","sie sagte, sie sei deutsche.","sie sagte, sie sei {{1::deutsche}}.","she said she was german.","First 2 letters: de...","108","0.4412722646310432",""
"punkt","dieses ei war auf den punkt gekocht.","dieses ei war auf den {{1::punkt}} gekocht.","this egg was perfectly cooked.","First 2 letters: pu...","118","0.45844834017157776",""
"aufgrund","ein mann wurde aufgrund einer verwechslung erschossen.","ein mann wurde {{1::aufgrund}} einer verwechslung erschossen.","a man was shot in a case of mistaken identity.","First 2 letters: au...","111","0.486996336996337",""
"blau","sein auto war blau. ihr auto war rot.","sein auto war {{1::blau}}. ihr auto war rot.","his car was blue. her car was red.","First 1 letter: b...","175","0.41653374233128837",""
"japanische","maria interessiert sich für japanische sprache und geschichte.","maria interessiert sich für {{1::japanische}} sprache und geschichte.","mary has an interest in japanese language and history.","First 3 letters: jap...","164","0.5014836795252225",""
"schließt","die bibliothek schließt in zehn minuten.","die bibliothek {{1::schließt}} in zehn minuten.","the library will be closing in ten minutes.","First 2 letters: sc...","111","0.46794871794871795",""
